roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.25077,1.139,1.2913,0.18602,0.00058,0.000438,0.000007,0,0,88.787,12.199,16.469,17.731,18.601,0.21943,0.064999,1.5496,4.7144,0.089479,0.9931,0.35137,0.95693,2
0.24769,1.2071,1.2444,0.18799,0.001223,0.000307,0.000006,0,0,102.06,39.52,15.849,16.794,25.104,0.08058,0.087102,-0.015147,2.268,0.094957,0.99137,0.33421,0.95419,2
0.18637,1.2757,1.2308,0.18437,0.001938,0.000035,0.000002,0,0,92.763,31.065,18.053,18.95,25.28,-0.10946,-0.12333,0.34526,2.1621,0.086255,0.9929,0.33258,0.9588,2
0.17656,1.1405,1.2466,0.18169,0.000564,0.000401,0.000004,0,0,78.532,6.0265,16.542,16.695,13.659,0.27976,0.1276,3.6094,19.263,0.11202,0.99182,0.30683,0.94623,2
0.28696,1.3313,1.1792,0.17775,0.002452,0.000051,0.000001,0,0,75.966,16.496,12.88,14.006,15.414,0.03612,0.071613,1.3364,6.189,0.10798,0.99235,0.30283,0.9486,2
0.27819,1.2636,1.171,0.17511,0.001619,0.000126,0,0,0,66.406,6.8293,13.353,15.293,11.211,0.169,0.068977,2.7522,14.109,0.11278,0.993,0.30366,0.94587,2
0.25182,1.2009,1.1531,0.17409,0.000993,0.000142,0,0,0,72.163,5.9194,14.383,16.447,11.542,0.22028,0.10093,3.1744,16.747,0.11325,0.99266,0.29475,0.94604,2
0.2722,1.2172,1.1722,0.17122,0.001104,0.000064,0,0,0,72.377,12.01,13.214,15.755,14.298,0.19444,0.019387,1.8902,8.6125,0.1209,0.99205,0.27665,0.94182,2
0.25916,1.1997,1.2138,0.17676,0.001013,0.000233,0.000001,0,0,73.694,1.455,15.91,15.685,8.2113,0.23785,0.12544,7.7138,70.793,0.12087,0.99154,0.28315,0.94162,2
0.17626,1.2013,1.2177,0.17373,0.000993,0.000078,0,0,0,79.139,10.039,18.3,18.005,17.206,0.53472,0.10099,2.352,9.5062,0.11394,0.99164,0.30267,0.94475,2
0.25414,1.2459,1.2204,0.18356,0.001578,0.000476,0.000003,0,0,79.47,2.2438,14.301,15.458,9.1065,0.19066,0.027875,5.9872,46.072,0.12231,0.99136,0.29404,0.94119,2
0.15947,1.2283,1.1524,0.18684,0.001436,0.000264,0.000001,0,0,84.836,0.35634,17.071,15.84,4.5568,-0.23054,-0.45514,17.755,381.62,0.093853,0.9925,0.33984,0.95567,2
0.24415,1.1818,1.2673,0.18743,0.000962,0.000297,0.00001,0,0,89.384,0.14191,16.55,15.101,2.8263,-0.22407,-0.51231,27.09,908.3,0.087352,0.99277,0.35987,0.95866,2
0.21811,1.3163,1.1145,0.18532,0.002469,0.000257,0.000004,0,0,84.145,0.35937,17.428,15.634,4.6155,-0.21331,-0.43165,15.927,293.11,0.10132,0.99172,0.32473,0.9515,2
0.25601,1.1476,1.2761,0.18195,0.00062,0.000569,0.000002,0,0,89.231,0.27524,17.112,15.673,3.6286,-0.023008,-0.30447,18.245,415.45,0.09638,0.9922,0.34802,0.95382,2
0.22309,1.2256,1.1672,0.17762,0.00127,0.000285,0.000004,0,0,82.039,0.52923,16.161,15.582,5.0435,-0.36416,-0.60932,13.796,240.36,0.089191,0.99267,0.3358,0.95795,2
0.20677,1.2693,1.2463,0.18447,0.001865,0.000239,0,0,0,70.962,8.8364,13.003,14.682,13.593,0.40047,0.39217,2.1295,8.6785,0.11423,0.99246,0.32373,0.94619,2
0.26767,1.2143,1.1778,0.17239,0.001093,0.000119,0,0,0,69.524,6.9101,12.839,15.298,11.685,0.67183,0.30576,2.6352,12.329,0.12031,0.99229,0.28603,0.94237,2
